###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
# ***********************************
# Cluster Identifier: Clus> 1 
# SCOP domains Length Average 394.4
# CATH domains Length Average 394.4
# Number of domains: 17
# Number of SCOP Folds: 1
# Number of SCOP Superfamilies: 4
# Number of CATH Topologies: 1
# Number of CATH Superfamilies: 3
# Clust Id. /SCOP: Id, Fold, Spf, Family, Length. /CATH: Id,Topology, Spf, S35, Length.
#
1 1ayx__ 48207 48208 48209 492 2fbaA00 15010 1501010 15010104 492
1 1gai__ 48207 48208 48209 472 1gai000 15010 1501010 15010109 472
1 1lf6a1 48207 48208 81850 397 1lf6A02 15010 1501010 150101011 392
1 1fp3a_ 48207 48208 48222 402 1fp3A00 15010 1501010 150101010 402
1 1clc_1 48207 48208 48213 441 1clc002 15010 1501010 15010107 439
1 1ks8a_ 48207 48208 48213 433 1ks8A00 15010 1501010 15010103 433
1 1nc5a_ 48207 48208 89108 363 1nc5A00 15010 1501010 15010108 363
1 1h12a_ 48207 48208 48213 404 1h12A00 15010 1501010 15010101 404
1 1kwfa_ 48207 48208 48213 363 1kwfA00 15010 1501010 15010102 363
1 1c3d__ 48207 48239 48251 294 1qqfA00 15010 1501020 15010202 276
1 1hzfa_ 48207 48239 48251 302 1hzfA00 15010 1501020 15010208 297
1 1dceb_ 48207 48239 48246 329 1dceB00 15010 1501020 15010203 329
1 1ld8b_ 48207 48239 48246 407 2h6fB00 15010 1501020 15010205 410
1 2sqca1 48207 48239 48243 352 2sqcA01 15010 1501020 15010204 347
1 1fo3a_ 48207 48225 48226 455 1x9dA00 15010 1501050 15010502 452
1 1krea_ 48207 48225 48226 475 1kktA00 15010 1501050 15010503 475
1 1gxma_ 48207 81853 81854 324 1gxmB00 15010 1501020 15010201 332
# ***********************************
# Cluster Identifier: Clus> 2 
# SCOP domains Length Average 512.0
# CATH domains Length Average 512.0
# Number of domains: 2
# Number of SCOP Folds: 1
# Number of SCOP Superfamilies: 1
# Number of CATH Topologies: 1
# Number of CATH Superfamilies: 1
# Clust Id. /SCOP: Id, Fold, Spf, Family, Length. /CATH: Id,Topology, Spf, S35, Length.
#
2 1m22a_ 75303 75304 75305 487 1m22A00 3901300 390130010 3901300101 487
2 1mt5a_ 75303 75304 75305 537 1mt5A00 3901300 390130010 3901300102 537
# ***********************************
# Cluster Identifier: Clus> 3 
# SCOP domains Length Average 401.0
# CATH domains Length Average 401.0
# Number of domains: 3
# Number of SCOP Folds: 1
# Number of SCOP Superfamilies: 1
# Number of CATH Topologies: 1
# Number of CATH Superfamilies: 1
# Clust Id. /SCOP: Id, Fold, Spf, Family, Length. /CATH: Id,Topology, Spf, S35, Length.
#
3 1ed8a_ 53648 53649 53650 449 1y6vA00 340720 34072010 340720102 449
3 1ew2a_ 53648 53649 53650 479 1zedA00 340720 34072010 340720103 481
3 1o98a2 53648 53649 64162 275 1o98A02 340720 34072010 340720105 272
# ***********************************
# Cluster Identifier: Clus> 4 
# SCOP domains Length Average 418.0
# CATH domains Length Average 418.0
# Number of domains: 2
# Number of SCOP Folds: 1
# Number of SCOP Superfamilies: 1
# Number of CATH Topologies: 1
# Number of CATH Superfamilies: 1
# Clust Id. /SCOP: Id, Fold, Spf, Family, Length. /CATH: Id,Topology, Spf, S35, Length.
#
4 1k0ga_ 56321 56322 56323 420 1k0eA00 360120 36012010 360120101 437
4 1qdla_ 56321 56322 56323 416 1qdlA00 360120 36012010 360120103 416
# ***********************************
# Cluster Identifier: Clus> 5 
